feature,importance,importance_pct
vol_regime,498,8.3
amihud_illiq_20,467,7.783333333333333
sector_code,466,7.766666666666667
rolling_beta,440,7.333333333333333
macd_signal,350,5.833333333333333
garman_klass_vol_20,295,4.916666666666667
momentum_5,281,4.683333333333334
fracdiff_close,280,4.666666666666667
realized_vol_20,272,4.533333333333333
volume_sma_10,257,4.283333333333333
parkinson_vol_20,247,4.116666666666666
macd,193,3.216666666666667
atr_20,190,3.1666666666666665
close_to_sma20,190,3.1666666666666665
momentum_20,175,2.9166666666666665
rsi_14,171,2.85
momentum_10,165,2.75
macd_hist,163,2.716666666666667
bb_width,161,2.683333333333333
garman_klass_vol_10,143,2.3833333333333333
realized_vol_10,128,2.1333333333333333
return_lag_1,124,2.066666666666667
parkinson_vol_10,102,1.7
volume_zscore,82,1.3666666666666667
hl_spread,60,1.0
return_lag_3,44,0.7333333333333333
return_lag_5,24,0.4
volume_change,18,0.3
return_lag_2,14,0.23333333333333334
