Feature,Importance,Importance_Percent,Rank
Close_to_SMA20_Ratio,0.08381131996149711,8.381131996149712,1
Bollinger_Width,0.05938357686011459,5.938357686011459,2
Daily_Return,0.05779880990716575,5.779880990716575,3
Volume_SMA_10,0.057421288487570166,5.742128848757017,4
RSI_14,0.05578344002494176,5.578344002494176,5
MACD,0.05365213385777809,5.365213385777809,6
High_Low_Spread,0.05235214387111344,5.235214387111344,7
Volatility_20,0.051913386683525055,5.191338668352506,8
Return_Lag_2,0.05134624342693533,5.134624342693533,9
MACD_Signal,0.05133546554464547,5.133546554464547,10
Return_Lag_3,0.04903094106024891,4.903094106024891,11
SMA_10,0.047601868156455736,4.760186815645573,12
Volatility_10,0.04729038424821516,4.729038424821516,13
Bollinger_Lower,0.04602163096411107,4.602163096411107,14
EMA_12,0.04034938167579303,4.034938167579303,15
Return_Lag_1,0.0364982897452287,3.6498289745228703,16
Volume_Change,0.03621946973950228,3.6219469739502284,17
SMA_50,0.0362151393604237,3.62151393604237,18
SMA_20,0.029260232335394147,2.9260232335394147,19
Bollinger_Upper,0.026976894517607458,2.6976894517607457,20
EMA_26,0.0229614181991975,2.29614181991975,21
Ticker_TSLA,0.005879824168679498,0.5879824168679498,22
Ticker_MSFT,0.0008967172038560524,0.08967172038560524,23
Ticker_AAPL,0.0,0.0,24
